                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.76551,                0.55178,                0.99192,                0.98821,                 0.9979,                  0.995,                0.82296,                0.72382,                0.34874,                0.95659,             0.00039591,             0.00039591,             0.00039591
                     48,                0.75251,                0.52861,                 0.9865,                0.99312,                 0.9835,                0.99484,                 0.8135,                0.77522,                0.34867,                0.99401,             0.00038884,             0.00038884,             0.00038884
                     49,                0.75608,                0.54031,                0.98483,                0.98049,                0.98449,                0.99447,                0.81797,                0.75225,                0.36959,                0.97352,             0.00038178,             0.00038178,             0.00038178
                     50,                0.73257,                0.52681,                0.97826,                0.98866,                0.98659,                0.99468,                0.83864,                0.66691,                0.33638,                0.94396,             0.00037471,             0.00037471,             0.00037471
                     51,                0.75081,                0.52195,                0.98756,                 0.9873,                0.99292,                0.99453,                0.82128,                0.76341,                0.33298,                0.98496,             0.00036764,             0.00036764,             0.00036764
                     52,                0.72955,                0.52401,                0.98057,                  0.987,                0.99303,                0.99484,                0.81894,                0.74465,                0.33269,                0.98442,             0.00036057,             0.00036057,             0.00036057
                     53,                0.73686,                0.51792,                 0.9815,                0.98905,                0.99167,                0.99402,                0.83349,                0.69731,                 0.3278,                0.94835,              0.0003535,              0.0003535,              0.0003535
                     54,                0.72221,                0.50123,                0.97044,                0.99455,                0.99196,                  0.995,                0.79698,                0.84908,                0.36208,                 1.0322,             0.00034643,             0.00034643,             0.00034643
                     55,                0.72194,                0.50645,                0.97475,                0.98863,                0.98884,                0.99301,                0.83859,                0.66497,                0.31676,                0.93114,             0.00033936,             0.00033936,             0.00033936
                     56,                0.72026,                0.49887,                0.97602,                 0.9754,                0.96647,                0.99324,                 0.8337,                0.66642,                0.32625,                0.94163,              0.0003323,              0.0003323,              0.0003323
                     57,                0.70153,                0.48235,                0.96748,                0.99449,                0.99169,                  0.995,                0.84329,                0.68915,                0.32193,                0.94342,             0.00032523,             0.00032523,             0.00032523
                     58,                0.70593,                 0.4984,                0.96997,                0.98764,                0.99537,                  0.995,                 0.8288,                0.72245,                0.32726,                0.95959,             0.00031816,             0.00031816,             0.00031816
                     59,                0.69495,                0.48948,                0.96473,                 0.9854,                0.99501,                0.99436,                0.84661,                0.64115,                0.29839,                0.92606,             0.00031109,             0.00031109,             0.00031109
                     60,                0.70053,                0.48885,                0.97101,                0.99395,                0.99006,                0.99468,                0.84828,                0.66549,                0.29674,                0.92294,             0.00030402,             0.00030402,             0.00030402
                     61,                0.69085,                0.48846,                 0.9676,                0.98527,                0.98969,                0.99468,                0.84656,                0.67704,                0.31142,                0.94069,             0.00029695,             0.00029695,             0.00029695
                     62,                 0.6844,                 0.4914,                0.96322,                0.98639,                0.99036,                0.99458,                0.85695,                0.63346,                0.29241,                0.91447,             0.00028988,             0.00028988,             0.00028988
                     63,                0.69514,                0.48362,                0.96685,                0.98904,                0.99832,                  0.995,                0.84896,                0.68841,                0.31162,                0.94714,             0.00028282,             0.00028282,             0.00028282
                     64,                0.66514,                0.46935,                0.95712,                0.98802,                0.98866,                 0.9934,                0.84096,                0.66817,                0.31316,                0.93213,             0.00027575,             0.00027575,             0.00027575
                     65,                0.66499,                0.45744,                0.95703,                0.99378,                0.98946,                0.99484,                0.84559,                 0.6543,                0.29397,                0.91976,             0.00026868,             0.00026868,             0.00026868
                     66,                0.65803,                0.45956,                0.95431,                0.97773,                0.98551,                0.99262,                0.84895,                0.64232,                0.30683,                0.92839,             0.00026161,             0.00026161,             0.00026161
                     67,                0.66234,                0.46375,                 0.9504,                0.98576,                0.98797,                0.99338,                0.85865,                0.62122,                0.29329,                0.91498,             0.00025454,             0.00025454,             0.00025454
                     68,                0.65353,                0.46282,                0.95161,                0.99199,                0.98779,                0.99468,                0.85689,                0.62803,                0.29212,                0.91227,             0.00024747,             0.00024747,             0.00024747
                     69,                0.65279,                0.45999,                0.95124,                0.98938,                0.99167,                0.99468,                0.85533,                0.64876,                0.29725,                0.92313,              0.0002404,              0.0002404,              0.0002404
                     70,                0.65263,                0.45634,                0.95144,                 0.9952,                0.99357,                  0.995,                0.84205,                0.66182,                 0.2974,                0.92966,             0.00023334,             0.00023334,             0.00023334
                     71,                0.65119,                0.45628,                0.95315,                0.99333,                 0.9881,                0.99442,                 0.8435,                0.67607,                0.29543,                0.93626,             0.00022627,             0.00022627,             0.00022627
                     72,                0.63565,                0.44243,                0.94792,                0.99072,                0.98548,                0.99356,                0.84517,                0.65105,                0.30526,                0.92563,              0.0002192,              0.0002192,              0.0002192
                     73,                0.63925,                0.44904,                0.94857,                0.99245,                0.99405,                0.99484,                0.85334,                0.63703,                0.28281,                0.91915,             0.00021213,             0.00021213,             0.00021213
                     74,                0.63187,                0.44647,                0.94708,                0.98934,                0.98976,                0.99442,                0.87024,                0.58049,                0.27372,                0.89866,             0.00020506,             0.00020506,             0.00020506
                     75,                0.62861,                0.44393,                0.95132,                0.99236,                0.98915,                0.99484,                0.86362,                0.59531,                0.27894,                0.89955,             0.00019799,             0.00019799,             0.00019799
                     76,                0.61879,                0.43374,                0.93968,                0.98692,                0.95342,                 0.9942,                0.86027,                0.60726,                0.30689,                0.90787,             0.00019092,             0.00019092,             0.00019092
